Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
BT1,Battery CGB,1,Battery,
C1,0603,1,18pF,
"C10, C13, C29, C33, C41, C45, C9",0603,7,10nF,
"C14, C15, C16",0603,3,47nF,
"C17, C18, C19, C25, C26, C27, C39",0603,7,1uF,
"C2, C48, C49",0603,3,27pF,
"C24, C28, C40, C43, C44",0603,5,100nF,
C31,0603,1,4.7uF,
C32,CP_Elec_6.3x5.4,1,100uF,
C38,CP_Elec_5x5.3,1,100uF,
C4,0603,1,22pF,
C46,0603,1,~,
C47,0603,1,150pF,
"C5, C6, C7",0603,3,100pF,
"D2, D5",D_SOD-323_HandSoldering,2,1SS355,
D4,LED_D3.0mm,1,RED,
"EM1, EM2, EM3, EM4, EM5, EM9",0603,6,BLM11B102S,
EM10,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm,1,ACM4532-801-2P,
"EM6, EM7, EM8",0805,3,BLM21PG221SG,
"F1, F2",1206,2,ICP-S1.0TN,
FB1,R_Array_Concave_4x0603,1,4W601,
J1,NAV_SWITCH,1,Conn_01x04,
P1,Cart CGB,1,Cart Connector,
P2,Screen CGB,1,~,
P3,Serial CGB,1,Conn_01x06,
P4,DCJACK,1,~,
P5,HPjack,1,Conn_01x05,
Q2,SOT-323_SC-70,1,2SC4081,
"R1, R7",0603,2,750,
R25,0603,1,1.5M,
R26,0603,1,5.6K,
R27,0603,1,100R,
R3,0603,1,18K,
R8,0603,1,47K,
"RA1, RA2",R_Array_Concave_2x0603,2,R_Pack02_SIP_Split,
RA3,R_Array_Concave_4x0603,1,270,
SP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Speaker,
SW1,Switch CGB,1,~,
SW2,Dpad CGB,1,Right,
SW3,Dpad CGB,1,Down,
SW4,Dpad CGB,1,Up,
SW5,Dpad CGB,1,Left,
SW6,AB CGB,1,A,
SW7,AB CGB,1,B,
SW8,Select CGB,1,Select,
SW9,Start CGB,1,Start,
U1,CPU CGB,1,CGB CPU,
U2,TSOP-I-28_11.8x8mm_P0.55mm,1,~,
U3,Amp MGB,1,MGB AMP,
U5,DC,1,DC-DC,
U6,SOT-23-5,1,PST9135N,
U7,SOT-23-5,1,~,
VR1,Volume wheel CGB,1,Conn_01x05,
X1,Crystal CGB,1,Crystal_Small,
